,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,581,DANA23,020200,20,19,0,0,29,5,131,1
1,581,DANA61,010100,35,25,10,10,19,4,186,1
2,581,DANA63,010100,30,21,0,0,25,22,151,1
3,581,DANA65,010100,18,18,10,10,15,4,106,1
4,581,DANA65,020200,17,5,0,0,5,18,177,1
5,581,DANA67,010100,15,15,0,0,21,14,99,1
6,581,DANA67,020200,15,6,0,0,9,22,117,1
7,581,DANA69,010100,17,15,10,10,10,4,111,1
8,581,DANA69,020200,18,3,0,0,7,18,23,1
9,581,DANA71,010100,30,25,0,0,27,10,178,1
10,581,DANA73,010100,25,20,0,0,28,2,186,1
11,581,DANA74,010001,10,10,0,0,19,3,74,1
12,581,DANA74,020002,10,10,0,0,9,61,185,1
13,581,EDCA01,111100,10,10,0,0,16,8,153,1
14,581,EDCA02,050500,20,11,0,0,17,24,178,1
15,581,EDCA11,000800,10,10,0,0,16,19,116,1
16,581,EDCA12,000300,6,3,0,0,4,45,97,1
17,581,EDCA12,000700,8,1,0,0,2,32,32,1
18,581,EDCK71,010100,1,1,0,0,4,5,5,1
19,581,LETA10,110000,10,4,0,0,5,14,21,1
20,581,LETA38,000100,3,1,0,0,1,134,134,1
21,581,LETB45,000200,3,3,0,0,5,18,82,1
22,581,LETB45,000300,3,2,0,0,2,6,134,1
23,581,LETB46,000100,2,1,0,0,1,144,144,1
24,581,LETB86,010000,4,4,0,0,5,34,144,1
25,581,LETB89,010000,2,2,0,0,5,19,34,1
26,581,LETB91,010000,2,1,0,0,2,60,60,1
27,581,LETB92,010000,2,2,0,0,5,12,19,1
28,581,LETB93,010000,2,1,0,0,2,126,126,1
29,581,LETE46,090900,20,13,0,0,20,3,185,1
30,581,MATC53,000100,1,1,0,0,3,19,19,1
31,581,MUS182,010000,1,1,0,0,6,2,2,1
