,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,116,ADM001,030000,5,5,0,0,43,11,22,1
1,116,ECOB40,100000,1,1,0,0,25,4,4,1
2,116,FCC061,010000,1,1,0,0,20,8,8,1
3,116,FCHC45,010000,30,25,0,0,25,21,251,1
4,116,FCHC45,020000,10,10,0,0,24,24,86,1
5,116,LETE48,111100,1,1,0,0,10,4,4,1
6,116,LETF01,000400,15,15,0,0,36,13,82,1
7,116,MAT174,030300,5,3,0,0,3,76,148,1
8,116,MAT191,020200,3,3,0,0,26,27,76,1
9,116,MAT223,010100,30,21,0,0,21,20,250,1
10,116,MAT224,010100,31,24,0,0,24,14,190,1
11,116,MATA03,040000,1,1,0,0,2,43,43,1
12,116,MATA03,050000,40,7,0,0,7,33,178,1
13,116,MATA04,030000,18,18,0,0,23,14,144,1
14,116,MATA07,050000,1,1,0,0,3,160,160,1
15,116,MATA07,060000,28,14,0,0,14,33,200,1
16,116,MATA37,020200,7,7,0,0,26,27,83,1
17,116,MATA37,040400,2,2,0,0,12,109,117,1
18,116,MATA60,010100,1,1,0,0,28,1,1,1
19,116,MATD38,010100,45,34,0,0,34,26,239,1
20,116,MATD39,010100,40,40,0,0,55,6,152,1
21,116,MATD40,000100,30,30,0,0,36,7,157,1
22,116,MATD41,010000,40,30,0,0,31,14,188,1
23,116,MATD42,010000,28,13,0,0,13,16,141,1
24,116,MATD43,010000,15,7,0,0,7,11,143,1
25,116,MATD44,010000,10,10,0,0,11,11,137,1
26,116,MATD45,000100,11,11,0,0,54,1,35,1
27,116,MATD46,000100,11,7,0,0,7,11,69,1
28,116,MATD47,010100,16,16,0,0,25,5,58,1
29,116,MATD49,010000,13,13,0,0,14,8,70,1
30,116,MATD52,000100,1,1,0,0,3,10,10,1
31,116,MATD52,000200,3,3,0,0,3,30,60,1
32,116,MATD52,000300,1,1,0,0,1,68,68,1
33,116,MATD52,000400,1,1,0,0,1,61,61,1
34,116,MATD52,000500,2,2,0,0,2,17,31,1
35,116,MATD52,000600,4,4,0,0,4,8,58,1
36,116,MATD52,000700,2,2,0,0,2,12,18,1
37,116,MATD53,000100,1,1,0,0,1,2,2,1
38,116,MATD53,000200,4,3,0,0,4,1,6,1
39,116,MATD53,000300,2,2,0,0,3,5,7,1
40,116,MATD53,000500,1,1,0,0,1,3,3,1
41,116,MATD61,010100,14,9,0,0,11,9,71,1
42,116,MATD62,010100,12,7,0,0,7,3,70,1
43,116,MATD63,010100,10,10,0,0,16,3,34,1
44,116,MATD65,010000,9,9,0,0,13,1,60,1
45,116,MATE56,010100,28,23,0,0,25,21,251,1
46,116,MATF55,000100,10,10,0,0,24,5,126,1
47,116,MATF89,010100,9,9,0,0,16,4,78,1
48,116,MATF90,010100,6,6,0,0,18,9,126,1
