,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,310,BIOD72,020200,1,1,0,0,2,208,208,1
1,310,EBA003,010100,1,1,0,0,5,28,28,1
2,310,EDC142,010101,3,3,0,0,4,189,403,1
3,310,EDC209,010100,15,9,0,0,11,75,409,1
4,310,EDC209,030300,15,5,0,0,12,140,391,1
5,310,EDC291,010100,5,5,0,0,14,4,200,1
6,310,EDCA01,030300,26,11,12,9,2,362,419,1
7,310,EDCA02,010100,5,1,0,0,2,347,347,1
8,310,EDCA02,040400,25,14,12,9,5,17,419,1
9,310,EDCA02,050500,5,1,0,0,1,358,358,1
10,310,EDCA05,050500,15,11,0,0,17,80,409,1
11,310,EDCA11,000200,5,5,0,0,10,17,388,1
12,310,EDCA11,000600,6,6,0,0,28,7,14,1
13,310,EDCA11,000700,3,3,0,0,4,4,423,1
14,310,EDCA12,000200,6,6,0,0,11,16,396,1
15,310,EDCA12,000600,6,6,0,0,10,281,390,1
16,310,EDCA12,000800,10,10,0,0,19,135,389,1
17,310,EDCB31,000002,15,15,0,0,20,56,338,1
18,310,EDCB32,000002,15,13,0,0,13,44,322,1
19,310,EDCJ89,010000,2,2,0,0,9,41,122,1
20,310,EDCK71,010100,1,1,0,0,4,38,38,1
21,310,EDCK86,010100,1,1,0,0,3,167,167,1
22,310,FCH001,170000,5,4,0,0,5,189,404,1
23,310,FCH007,050000,2,1,0,0,2,350,350,1
24,310,FCH007,080000,5,2,0,0,2,7,181,1
25,310,FCH011,010000,13,6,0,0,7,11,408,1
26,310,FCH011,020000,2,1,0,0,3,356,356,1
27,310,FCH014,010000,30,13,12,9,4,24,419,1
28,310,FCH014,020000,10,1,0,0,1,51,51,1
29,310,FCH015,010000,50,24,0,0,30,4,423,1
30,310,FCH015,020000,10,6,0,0,10,7,396,1
31,310,FCH017,010000,30,30,0,0,36,9,394,1
32,310,FCH017,020000,15,5,0,0,6,75,377,1
33,310,FCH020,010000,30,29,0,0,32,98,398,1
34,310,FCH020,020000,15,9,0,0,12,63,309,1
35,310,FCH023,010000,20,19,0,0,21,182,294,1
36,310,FCH023,020000,10,7,0,0,14,75,324,1
37,310,FCH024,010000,30,11,12,9,2,416,419,1
38,310,FCH024,020000,5,2,0,0,2,51,148,1
39,310,FCH124,010000,8,3,0,0,6,80,297,1
40,310,FCH124,020000,4,1,0,0,2,416,416,1
41,310,FCH124,060000,4,3,0,0,3,7,221,1
42,310,FCH124,090000,10,10,0,0,12,8,183,1
43,310,FCH163,010000,15,2,0,0,5,11,394,1
44,310,FCH176,010100,40,36,0,0,37,7,423,1
45,310,FCH176,020200,10,4,0,0,4,4,391,1
46,310,FCH177,010000,20,13,0,0,15,9,408,1
47,310,FCH185,010000,30,28,0,0,33,27,402,1
48,310,FCH185,020000,15,15,0,0,16,99,425,1
49,310,FCH192,010100,20,14,0,0,19,75,327,1
50,310,FCH196,010000,25,25,0,0,31,24,354,1
51,310,FCH196,020000,5,5,0,0,11,51,309,1
52,310,FCH244,010000,2,1,0,0,2,2,2,1
53,310,FCH247,010000,20,9,0,0,12,7,407,1
54,310,FCH248,010000,20,8,0,0,15,30,421,1
55,310,FCH274,010000,20,20,0,0,24,12,429,1
56,310,FCH287,010000,20,20,0,0,23,16,341,1
57,310,FCH287,020000,10,10,0,0,17,144,324,1
58,310,FCH289,000001,5,2,0,0,3,82,430,1
59,310,FCH289,000004,5,1,0,0,1,297,297,1
60,310,FCH289,000009,5,4,0,0,4,72,218,1
61,310,FCH289,000012,5,1,0,0,1,210,210,1
62,310,FCH289,000016,5,3,0,0,3,133,227,1
63,310,FCH289,000021,2,1,0,0,1,240,240,1
64,310,FCH290,000001,5,2,0,0,2,316,409,1
65,310,FCH290,000004,5,1,0,0,1,284,284,1
66,310,FCH290,000008,5,1,0,0,1,230,230,1
67,310,FCH310,010000,2,2,0,0,6,114,227,1
68,310,FCH318,010000,3,2,0,0,4,41,368,1
69,310,FCH431,010000,30,30,0,0,45,75,393,1
70,310,FCH431,020000,5,5,0,0,8,51,344,1
71,310,FCH435,010000,25,14,0,0,14,1,425,1
72,310,FCH436,010000,20,10,0,0,12,2,399,1
73,310,FCH436,030000,10,1,0,0,1,358,358,1
74,310,FCH440,010000,30,9,0,0,13,203,425,1
75,310,FCH441,010000,30,25,0,0,28,65,402,1
76,310,FCH441,020000,15,15,0,0,19,75,342,1
77,310,FCHC97,010100,5,3,0,0,3,82,177,1
78,310,FCHC97,010200,5,1,0,0,2,239,239,1
79,310,FCHC97,010400,5,1,0,0,1,297,297,1
80,310,FCHC97,010600,5,1,0,0,1,322,322,1
81,310,FCHC97,010800,5,1,0,0,1,237,237,1
82,310,FCHC97,010900,5,1,0,0,1,94,94,1
83,310,FCHC97,013000,5,2,0,0,2,189,287,1
84,310,FCHC97,017000,5,1,0,0,1,227,227,1
85,310,FCHC97,019000,5,1,0,0,1,282,282,1
86,310,FCHC97,019500,2,1,0,0,1,291,291,1
87,310,FCHC98,010100,5,3,0,0,3,146,215,1
88,310,FCHC98,010200,5,4,0,0,4,73,254,1
89,310,FCHC98,010300,5,1,0,0,1,233,233,1
90,310,FCHC98,010400,5,1,0,0,1,284,284,1
91,310,FCHC98,010600,5,1,0,0,1,235,235,1
92,310,FCHC98,010800,5,3,0,0,3,134,234,1
93,310,FCHC98,010900,5,4,0,0,4,135,232,1
94,310,FCHC98,013000,5,3,0,0,3,63,242,1
95,310,FCHC98,019000,5,2,0,0,2,196,238,1
96,310,FCHC98,019100,5,2,0,0,2,183,185,1
97,310,FCHC98,019500,2,1,0,0,1,240,240,1
98,310,FCHC98,019600,3,1,0,0,1,178,178,1
99,310,FCHD91,010000,25,24,0,0,29,11,400,1
100,310,FCHD91,020000,10,10,0,0,12,4,425,1
101,310,FCHD94,000100,20,10,0,0,12,148,396,1
102,310,FCHD95,001000,30,13,12,9,5,16,419,1
103,310,FCHD95,002000,5,2,0,0,2,310,328,1
104,310,FCHE02,010100,2,2,0,0,8,40,134,1
105,310,FCHG06,010000,40,32,0,0,34,7,423,1
106,310,FCHG06,020000,10,4,0,0,6,257,342,1
107,310,FCHK80,010000,20,5,0,0,9,3,361,1
108,310,FCHM07,010000,20,16,0,0,19,122,434,1
109,310,LET032,010000,25,23,0,0,25,24,433,1
110,310,LET032,020000,5,2,0,0,3,47,257,1
111,310,LETA39,010000,2,2,0,0,2,23,120,1
112,310,LETA41,010000,2,1,0,0,1,226,226,1
