,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,181,ARQ011,020200,1,1,0,0,3,56,56,1
1,181,EDC209,040400,4,1,0,0,4,56,56,1
2,181,EDC267,010100,1,1,0,0,2,56,56,1
3,181,EDC286,010100,2,2,0,0,5,3,58,1
4,181,EDC286,020200,2,2,0,0,5,81,113,1
5,181,EDC287,040400,4,4,0,0,4,1,196,1
6,181,EDC287,050500,5,3,0,0,4,33,60,1
7,181,EDC291,020200,1,1,0,0,4,67,67,1
8,181,EDCA01,101000,3,3,0,0,8,3,39,1
9,181,EDCA02,030300,20,5,0,0,7,5,118,1
10,181,EDCA11,000800,10,4,0,0,6,5,24,1
11,181,EDCA12,000300,10,3,0,0,4,21,90,1
12,181,EDCJ32,010100,15,2,0,0,2,21,96,1
13,181,EDCJ33,000100,25,20,0,0,20,1,149,1
14,181,EDCJ37,000001,10,1,0,0,1,25,25,1
15,181,FIS116,010100,5,5,0,0,9,1,109,1
16,181,FIS117,010100,5,5,0,0,10,19,83,1
17,181,FISA01,010000,7,6,0,0,7,23,111,1
18,181,FISC50,030300,45,1,44,0,8,87,87,1
19,181,FISC51,020200,45,9,0,0,12,7,129,1
20,181,FISC53,010000,30,2,0,0,2,129,134,1
21,181,FISC61,010100,15,1,0,0,2,134,134,1
22,181,FISC62,010000,20,3,0,0,3,28,82,1
23,181,FISC64,010000,13,1,0,0,1,35,35,1
24,181,FISC66,010000,3,2,0,0,2,118,134,1
25,181,FISC69,010000,3,2,0,0,2,81,90,1
26,181,FISC77,010100,10,4,0,0,5,11,54,1
27,181,FISC86,010000,5,5,0,0,9,23,89,1
28,181,FISD34,070000,12,7,0,0,8,7,144,1
29,181,FISD36,150000,20,20,0,0,22,10,125,1
30,181,FISD37,080000,13,7,0,0,9,2,159,1
31,181,FISD38,050000,15,1,0,0,2,26,26,1
32,181,FISD39,001200,10,1,0,0,3,11,11,1
33,181,FISD40,001600,11,8,0,0,10,2,159,1
34,181,FISD41,001700,18,10,0,0,12,5,129,1
35,181,FISD42,280000,10,7,0,0,11,48,190,1
36,181,FISD42,290000,10,4,0,0,6,38,150,1
37,181,FISD42,330000,1,1,0,0,7,54,54,1
38,181,LETE48,151500,15,7,0,0,11,18,149,1
39,181,MATA01,160000,55,11,44,0,16,48,150,1
40,181,MATA02,150000,49,5,44,0,14,38,109,1
41,181,MATA03,080000,14,9,0,0,9,5,90,1
42,181,MATA04,070000,12,2,0,0,5,31,36,1
43,181,QUI003,060600,40,18,0,0,18,2,151,1
