,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,118,ENGA54,040400,2,2,0,0,8,43,51,1
1,118,FISA01,010000,1,1,0,0,16,1,1,1
2,118,FISD34,010000,13,13,0,0,13,8,103,1
3,118,FISD36,040000,38,4,34,0,15,30,41,1
4,118,FISD37,010000,7,4,0,0,6,19,74,1
5,118,FISD38,020000,9,5,0,0,5,22,103,1
6,118,FISD39,000500,9,5,0,0,6,19,88,1
7,118,FISD40,000200,7,3,0,0,5,52,85,1
8,118,FISD41,000200,15,11,0,0,11,8,102,1
9,118,FISD42,070000,25,4,21,0,7,69,89,1
10,118,GEO057,010100,5,5,0,0,8,7,92,1
11,118,GEO119,010100,10,1,0,0,1,29,29,1
12,118,GEO202,020300,20,2,17,0,2,96,119,1
13,118,GEO202,020400,20,2,17,0,2,94,111,1
14,118,GEO203,010100,30,11,0,0,11,8,114,1
15,118,GEO204,010100,20,4,0,0,4,46,114,1
16,118,GEO205,010100,15,3,0,0,3,23,67,1
17,118,GEO206,010100,22,8,0,0,8,8,77,1
18,118,GEO208,010100,10,2,0,0,2,21,38,1
19,118,GEO209,010100,15,3,0,0,3,7,31,1
20,118,GEO210,010100,15,6,0,0,6,5,37,1
21,118,GEO211,010100,15,1,0,0,1,21,21,1
22,118,GEO212,010100,15,2,0,0,2,52,85,1
23,118,GEO215,010100,7,1,0,0,1,21,21,1
24,118,GEO216,010100,10,4,0,0,4,6,37,1
25,118,GEO217,010100,11,6,0,0,6,1,13,1
26,118,GEO225,010100,10,4,0,0,4,6,37,1
27,118,GEOD09,010100,10,5,0,0,8,3,40,1
28,118,GEOD67,010000,6,6,0,0,16,1,31,1
29,118,GEOE31,010000,11,7,0,0,9,5,94,1
30,118,GEOE32,000100,11,5,0,0,5,10,102,1
31,118,GEOE33,000100,15,6,0,0,7,1,88,1
32,118,LETE46,171700,4,4,0,0,7,3,93,1
33,118,MAT045,020200,3,2,0,0,3,29,60,1
34,118,MATA01,060000,45,11,34,0,14,42,96,1
35,118,MATA02,070000,43,9,34,0,18,30,65,1
36,118,MATA03,040000,20,6,0,0,6,8,72,1
37,118,MATA04,020000,10,4,0,0,6,48,74,1
38,118,MATA04,070000,1,1,0,0,2,22,22,1
39,118,MATA05,010000,30,6,0,0,8,6,60,1
40,118,MATA07,030000,22,13,0,0,13,8,74,1
41,118,QUI003,040400,50,4,34,0,5,88,119,1
