,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,304,ADM001,030000,40,6,30,0,6,393,518,1
1,304,ADM001,040000,20,2,0,0,3,415,513,1
2,304,ADM001,070000,15,3,0,0,4,397,517,1
3,304,ADM001,090000,40,5,35,0,9,169,419,1
4,304,ADM171,010000,10,10,0,0,20,73,344,1
5,304,ADM172,010000,4,4,0,0,8,5,58,1
6,304,ADM180,010000,5,5,0,0,9,204,376,1
7,304,ADMK24,010100,2,2,0,0,12,29,72,1
8,304,DIR159,010000,40,11,29,0,14,219,522,1
9,304,DIR159,020000,40,7,30,0,9,307,518,1
10,304,DIR161,010000,30,26,0,0,31,146,530,1
11,304,DIR161,020000,15,15,0,0,29,134,310,1
12,304,DIR161,030000,10,10,0,0,14,164,337,1
13,304,DIR164,010000,8,8,0,0,30,146,192,1
14,304,DIR164,020000,8,4,0,0,5,249,316,1
15,304,DIR164,030000,40,10,0,0,18,172,337,1
16,304,DIR167,010000,40,25,0,0,28,228,388,1
17,304,DIR167,020000,5,5,0,0,16,250,311,1
18,304,ECO173,040000,40,11,0,0,16,32,517,1
19,304,ECO173,050000,20,20,0,0,36,120,333,1
20,304,ECO173,060000,20,20,0,0,26,11,485,1
21,304,FCC009,010000,40,15,0,0,18,16,209,1
22,304,FCC009,020000,20,15,0,0,16,25,539,1
23,304,FCC010,010000,40,10,0,0,12,4,542,1
24,304,FCC010,020000,20,20,0,0,28,6,101,1
25,304,FCC017,000001,15,15,0,0,23,18,346,1
26,304,FCC017,000002,15,15,0,0,21,51,272,1
27,304,FCC017,000003,15,10,0,0,8,14,542,1
28,304,FCC017,000004,15,10,0,0,12,26,519,1
29,304,FCC023,010000,40,3,0,0,5,83,206,1
30,304,FCC023,020000,20,17,0,0,20,12,260,1
31,304,FCC023,030000,40,15,0,0,16,16,542,1
32,304,FCC024,010000,40,24,0,0,27,128,537,1
33,304,FCC024,020000,20,19,0,0,22,136,538,1
34,304,FCC033,010000,40,10,30,0,34,218,366,1
35,304,FCC033,020000,40,11,29,0,31,168,369,1
36,304,FCC034,010000,40,36,0,0,36,166,385,1
37,304,FCC034,020000,5,5,0,0,15,256,315,1
38,304,FCC035,010000,40,21,0,0,21,120,297,1
39,304,FCC035,020000,15,15,0,0,21,102,242,1
40,304,FCC036,010000,40,20,0,0,24,75,349,1
41,304,FCC036,020000,40,11,0,0,15,99,537,1
42,304,FCC036,030000,20,20,0,0,29,93,265,1
43,304,FCC037,010000,40,15,0,0,18,48,206,1
44,304,FCC037,020000,40,7,0,0,11,70,355,1
45,304,FCC037,030000,20,20,0,0,25,9,534,1
46,304,FCC038,010000,40,25,0,0,30,5,381,1
47,304,FCC038,020000,20,14,0,0,21,13,540,1
48,304,FCC039,010000,40,19,0,0,22,23,349,1
49,304,FCC039,020000,20,20,0,0,33,26,165,1
50,304,FCC040,010000,40,21,0,0,22,18,209,1
51,304,FCC040,020000,20,19,0,0,27,23,536,1
52,304,FCC041,010000,40,6,29,0,11,36,397,1
53,304,FCC041,020000,40,7,30,0,11,238,537,1
54,304,FCC042,010000,46,1,0,0,1,20,20,1
55,304,FCC044,010000,40,23,0,0,26,62,346,1
56,304,FCC044,020000,20,10,0,0,12,87,265,1
57,304,FCC045,010000,40,8,0,0,10,22,83,1
58,304,FCC045,020000,20,14,0,0,16,4,389,1
59,304,FCC046,010000,40,5,0,0,5,14,82,1
60,304,FCC046,020000,20,8,0,0,8,3,60,1
61,304,FCC047,010000,40,5,0,0,6,6,73,1
62,304,FCC047,020000,20,12,0,0,16,1,540,1
63,304,FCC049,010000,40,14,0,0,22,22,355,1
64,304,FCC049,020000,20,20,0,0,30,1,260,1
65,304,FCC050,010000,40,34,0,0,37,20,539,1
66,304,FCC051,010000,40,28,0,0,33,22,538,1
67,304,FCC051,020000,20,9,0,0,13,7,265,1
68,304,FCC052,010000,40,15,0,0,17,72,373,1
69,304,FCC052,020000,20,18,0,0,19,64,187,1
70,304,FCC053,010000,40,8,0,0,8,2,542,1
71,304,FCC053,020000,20,16,0,0,20,3,306,1
72,304,FCC055,010000,45,7,0,0,7,4,355,1
73,304,FCC056,010000,39,5,0,0,7,2,58,1
74,304,FCC057,010000,45,4,0,0,7,42,73,1
75,304,FCC060,010000,40,18,0,0,23,99,530,1
76,304,FCC060,020000,20,20,0,0,22,17,392,1
77,304,FCC061,010000,41,10,0,0,12,42,376,1
