,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,216,IMS002,010100,19,17,0,0,17,112,152,1
1,216,IMS002,010200,19,7,0,0,10,119,197,1
2,216,IMS003,030000,45,18,0,0,18,1,178,1
3,216,IMS005,010100,13,13,0,0,24,81,103,1
4,216,IMS005,010200,22,2,0,0,5,126,166,1
5,216,IMS006,020000,38,20,14,0,20,2,197,1
6,216,IMS007,010000,5,5,0,0,11,12,124,1
7,216,IMS011,010000,45,31,14,0,32,1,161,1
8,216,IMS014,010100,22,9,0,0,13,3,159,1
9,216,IMS014,010200,23,8,0,0,14,1,178,1
10,216,IMS015,010100,45,17,14,0,17,2,184,1
11,216,IMS031,010000,38,4,0,0,5,163,176,1
12,216,IMS032,010100,45,29,0,0,29,85,158,1
13,216,IMS033,010000,45,23,0,0,23,85,151,1
14,216,IMS034,010100,6,6,0,0,20,82,98,1
15,216,IMS034,010200,6,6,0,0,14,89,99,1
16,216,IMS034,010300,6,1,0,0,3,115,115,1
17,216,IMS034,010400,6,2,0,0,3,102,103,1
18,216,IMS040,010100,18,10,7,0,10,7,183,1
19,216,IMS040,010200,17,5,7,0,9,2,178,1
20,216,IMS042,010100,6,6,0,0,20,45,60,1
21,216,IMS042,010300,6,6,0,0,12,64,80,1
22,216,IMS042,010500,6,4,0,0,5,55,109,1
23,216,IMS043,010100,6,6,0,0,21,45,68,1
24,216,IMS043,010300,6,6,0,0,12,52,72,1
25,216,IMS043,010400,6,6,0,0,5,55,77,1
26,216,IMS043,010500,6,1,0,0,2,87,87,1
27,216,IMS045,010100,6,6,0,0,19,45,68,1
28,216,IMS045,010200,6,6,0,0,12,52,72,1
29,216,IMS045,010300,6,1,0,0,1,80,80,1
30,216,IMS045,010400,6,6,0,0,6,55,77,1
31,216,IMS049,020000,40,23,0,0,23,112,197,1
32,216,IMS051,020300,22,13,7,0,19,3,184,1
33,216,IMS051,020400,23,7,7,0,14,1,169,1
34,216,IMS052,010000,26,20,0,0,20,112,197,1
35,216,IMS158,010000,5,5,0,0,8,115,135,1
36,216,IMSA51,010100,7,7,0,0,10,81,166,1
37,216,IMSA74,000001,6,5,0,0,15,29,61,1
38,216,IMSA74,000003,6,1,0,0,8,53,53,1
39,216,IMSA76,010000,28,4,0,0,15,42,61,1
40,216,IMSB75,010000,5,5,0,0,19,81,116,1
41,216,IMSE71,010100,5,3,0,0,8,86,161,1
42,216,IMSE71,010200,5,5,0,0,13,2,149,1
43,216,IMSE72,001000,5,5,0,0,16,104,134,1
