,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,217,IMS002,030400,15,15,0,0,28,77,99,1
1,217,IMS002,030500,15,6,0,0,11,98,128,1
2,217,IMS003,020000,40,13,0,0,13,120,190,1
3,217,IMS005,030400,24,24,0,0,29,39,126,1
4,217,IMS010,030000,44,4,40,0,10,138,154,1
5,217,IMS012,020000,40,14,0,0,14,120,191,1
6,217,IMS015,020200,40,16,0,0,16,34,162,1
7,217,IMS016,010100,20,10,0,0,20,123,191,1
8,217,IMS016,010200,20,17,0,0,18,120,190,1
9,217,IMS017,010100,15,15,0,0,16,117,190,1
10,217,IMS017,010200,15,14,0,0,24,89,156,1
11,217,IMS018,001000,15,15,0,0,33,48,97,1
12,217,IMS018,002000,15,8,0,0,14,81,142,1
13,217,IMS019,010000,30,26,0,0,26,56,189,1
14,217,IMS020,020400,23,3,20,0,11,38,153,1
15,217,IMS020,020500,23,3,20,0,10,138,152,1
16,217,IMS021,020300,12,12,0,0,17,66,139,1
17,217,IMS021,020400,12,12,0,0,25,56,107,1
18,217,IMS022,010100,15,10,0,0,20,24,63,1
19,217,IMS022,010200,15,14,0,0,23,8,109,1
20,217,IMS026,010000,5,5,0,0,9,90,145,1
21,217,IMS048,030300,46,6,40,0,8,14,157,1
22,217,IMS059,010000,46,6,40,0,10,14,157,1
23,217,IMS063,010100,15,13,0,0,17,52,191,1
24,217,IMS063,010200,15,15,0,0,31,39,83,1
25,217,IMS065,010000,20,19,0,0,21,34,171,1
26,217,IMS071,010100,15,7,0,0,11,76,118,1
27,217,IMS071,010200,15,15,0,0,31,77,104,1
28,217,IMS072,010000,40,27,0,0,29,15,109,1
29,217,IMS074,010100,12,8,0,0,10,7,189,1
30,217,IMS078,030600,23,3,20,0,5,88,162,1
31,217,IMS078,030700,23,3,20,0,4,154,171,1
32,217,IMS080,010000,46,6,40,0,14,29,153,1
33,217,IMS082,010100,20,20,0,0,49,54,98,1
34,217,IMS082,010200,20,13,0,0,19,82,190,1
35,217,IMS084,010000,34,29,0,0,29,36,130,1
36,217,IMS090,010000,50,39,0,0,39,77,190,1
37,217,IMS091,020000,30,22,0,0,26,77,189,1
38,217,IMS094,010100,5,5,0,0,17,28,45,1
39,217,IMS094,010200,5,5,0,0,15,16,52,1
40,217,IMS094,010300,5,1,0,0,7,36,36,1
41,217,IMS094,010400,5,4,0,0,5,41,109,1
42,217,IMS095,010100,15,15,0,0,22,30,115,1
43,217,IMS095,010200,15,9,0,0,18,41,135,1
44,217,IMS097,000001,12,2,0,0,5,43,44,1
45,217,IMS097,000002,12,11,0,0,12,1,100,1
46,217,IMS099,010100,12,12,0,0,21,8,59,1
47,217,IMS101,000001,11,11,0,0,16,10,49,1
48,217,IMS101,000002,11,8,0,0,12,15,64,1
49,217,IMS103,000001,5,5,0,0,10,1,20,1
50,217,IMS103,000002,5,2,0,0,6,25,27,1
51,217,IMS103,000003,10,4,0,0,4,11,29,1
52,217,IMS104,000001,10,10,0,0,19,1,29,1
53,217,IMS104,000002,10,7,0,0,11,9,49,1
54,217,IMS105,000001,7,4,0,0,4,3,26,1
55,217,IMS107,010100,12,12,0,0,27,4,35,1
56,217,IMS107,010200,12,6,0,0,13,36,135,1
57,217,IMS107,010300,12,6,0,0,7,13,189,1
58,217,IMS115,010100,10,10,0,0,20,22,63,1
59,217,IMS115,010200,10,10,0,0,20,16,78,1
60,217,IMS115,010300,10,1,0,0,4,81,81,1
61,217,IMS152,010000,3,1,0,0,2,171,171,1
62,217,IMS161,010000,25,14,0,0,14,3,44,1
63,217,IMS163,010000,15,13,0,0,13,1,34,1
64,217,IMS173,010100,10,2,0,0,2,33,133,1
65,217,IMS194,010000,5,4,0,0,5,14,171,1
66,217,IMS268,010100,5,5,0,0,11,116,134,1
67,217,IMS268,040400,15,6,0,0,7,50,151,1
68,217,IMSA99,010000,20,20,0,0,27,28,73,1
69,217,IMSC50,010000,2,2,0,0,3,100,106,1
70,217,IMSC50,020000,2,2,0,0,5,16,45,1
71,217,IMSD50,010100,12,12,0,0,16,14,102,1
72,217,IMSF10,010000,5,5,0,0,17,15,59,1
73,217,IMSF29,010000,15,5,0,0,6,50,145,1
