,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,515,ADM001,070000,5,5,0,0,10,57,260,1
1,515,ARQ003,030300,5,5,0,0,14,13,83,1
2,515,ARQ005,020200,2,2,0,0,7,83,104,1
3,515,ARQ005,030300,3,3,0,0,6,119,136,1
4,515,ARQ010,040400,2,2,0,0,22,4,54,1
5,515,ARQ011,020200,5,5,0,0,11,117,190,1
6,515,ARQ013,040400,1,1,0,0,2,13,13,1
7,515,ARQ138,010000,2,2,0,0,10,175,182,1
8,515,ARQA16,000300,10,6,4,0,24,14,73,1
9,515,BIO130,010100,5,5,0,0,16,12,101,1
10,515,BIOD72,020200,1,1,0,0,20,43,43,1
11,515,COM103,010000,5,5,0,0,11,83,283,1
12,515,COM103,020000,5,5,0,0,18,26,113,1
13,515,COM104,010000,5,2,3,0,8,85,241,1
14,515,COM104,020000,5,5,0,0,16,2,152,1
15,515,COM106,010000,5,2,3,0,7,86,142,1
16,515,COM106,020000,5,5,0,0,19,27,230,1
17,515,COM300,010000,2,2,0,0,7,77,85,1
18,515,COM308,010000,5,5,0,0,14,41,160,1
19,515,COM310,010000,5,2,0,0,4,310,513,1
20,515,COM321,010000,5,3,0,0,7,86,241,1
21,515,COM326,010000,20,20,0,0,53,7,170,1
22,515,COM326,020000,4,4,0,0,21,2,86,1
23,515,COM327,010000,20,20,0,0,53,2,256,1
24,515,COM327,020000,4,4,0,0,23,7,73,1
25,515,COM328,010000,20,20,0,0,55,7,154,1
26,515,COM328,020000,4,4,0,0,26,2,106,1
27,515,COM365,010000,5,5,0,0,19,5,56,1
28,515,COMA87,010000,20,20,0,0,43,14,261,1
29,515,COMB01,010000,19,8,0,0,13,50,379,1
30,515,COMB01,020000,3,3,0,0,9,104,170,1
31,515,COMB49,010100,14,14,0,0,21,2,433,1
32,515,COMB52,010000,3,3,0,0,18,2,85,1
33,515,DAN005,010000,1,1,0,0,1,228,228,1
34,515,DAN007,010000,2,2,0,0,3,228,272,1
35,515,DAN007,020000,10,3,0,0,5,216,359,1
36,515,DAN068,020000,2,2,0,0,9,19,59,1
37,515,DAN084,020200,2,2,0,0,30,33,41,1
38,515,DAN163,000100,2,2,0,0,5,104,141,1
39,515,DANA23,010100,3,3,0,0,6,207,276,1
40,515,DIR034,050000,5,3,0,0,5,78,269,1
41,515,DIR196,010000,5,1,0,0,1,180,180,1
42,515,EBA001,040400,1,1,0,0,19,13,13,1
43,515,EBA001,050500,1,1,0,0,10,85,85,1
44,515,EBA001,060600,1,1,0,0,18,32,32,1
45,515,EBA002,040400,1,1,0,0,7,90,90,1
46,515,EBA003,010100,1,1,0,0,5,24,24,1
47,515,EBA004,010100,8,8,0,0,24,4,222,1
48,515,EBA004,020200,4,4,0,0,28,21,50,1
49,515,EBA008,010100,2,2,0,0,16,34,61,1
50,515,EBA013,010100,3,3,0,0,11,76,195,1
51,515,EBA013,020200,3,3,0,0,14,56,175,1
52,515,EBA014,010100,3,2,0,0,2,8,282,1
53,515,EBA015,010100,3,3,0,0,5,21,282,1
54,515,EBA017,030300,2,2,0,0,13,24,71,1
55,515,EBA018,010100,2,2,0,0,5,282,296,1
56,515,EBA105,010100,1,1,0,0,13,4,4,1
57,515,EBA105,020200,1,1,0,0,6,71,71,1
58,515,EBA105,030300,1,1,0,0,22,1,1,1
59,515,EBA105,040400,1,1,0,0,13,117,117,1
60,515,EBA115,010100,1,1,0,0,3,131,131,1
61,515,EBA123,010100,2,2,0,0,34,4,37,1
62,515,EBA133,010100,2,2,0,0,15,21,44,1
63,515,EBA134,010100,3,1,0,0,2,174,174,1
64,515,EBA134,020200,5,1,0,0,1,420,420,1
65,515,EBA134,030300,5,1,0,0,2,59,59,1
66,515,EBA135,010100,4,1,0,0,1,420,420,1
67,515,EBA137,010100,3,2,0,0,3,405,420,1
68,515,EBA139,010100,2,1,0,0,1,420,420,1
69,515,EBA140,010100,1,1,0,0,17,34,34,1
70,515,EBA141,010100,1,1,0,0,4,172,172,1
71,515,EBA145,010100,3,1,0,0,2,332,332,1
72,515,EBA146,010100,5,1,0,0,1,420,420,1
73,515,EBA152,010100,2,2,0,0,19,1,8,1
74,515,EBA153,020200,1,1,0,0,38,34,34,1
75,515,EBA154,010100,1,1,0,0,2,40,40,1
76,515,EBA156,010100,10,5,0,0,5,174,474,1
77,515,EBA157,010100,8,1,0,0,1,135,135,1
78,515,EBA158,010100,1,1,0,0,2,120,120,1
79,515,EBA160,010100,2,2,0,0,2,10,196,1
80,515,EBA161,010100,2,2,0,0,11,34,59,1
81,515,EBA161,020200,2,2,0,0,6,4,45,1
82,515,EBA170,010100,2,2,0,0,5,4,190,1
83,515,EBA179,010100,5,2,0,0,2,254,330,1
84,515,EBA181,010100,3,3,0,0,12,111,175,1
85,515,EBA182,010100,2,2,0,0,18,34,71,1
86,515,EBA182,020200,2,2,0,0,6,173,227,1
87,515,ECOB40,080000,5,2,0,0,3,196,231,1
88,515,ECOB40,110000,3,1,0,0,1,334,334,1
89,515,EDC067,010100,10,10,0,0,13,27,359,1
90,515,EDC142,010101,2,1,0,0,1,333,333,1
