,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,195,ADM001,070000,5,5,0,0,7,67,295,1
1,195,ADM001,080000,30,20,0,0,23,49,310,1
2,195,ADM211,020200,40,19,0,0,24,6,131,1
3,195,ADME99,010000,20,14,0,0,18,63,342,1
4,195,ADMF01,010000,20,5,0,0,6,2,259,1
5,195,ECO173,050000,5,5,0,0,10,4,171,1
6,195,ECOB40,080000,15,12,0,0,15,61,295,1
7,195,ECOB40,200000,10,1,0,0,6,204,204,1
8,195,ECOB40,210000,10,3,0,0,3,75,342,1
9,195,FCC024,030000,6,6,0,0,23,4,47,1
10,195,LETA15,000200,5,5,0,0,14,2,75,1
11,195,LETA15,000300,8,8,0,0,18,4,95,1
12,195,LETA38,000100,2,2,0,0,3,127,168,1
13,195,LETD84,010000,1,1,0,0,6,8,8,1
14,195,LETE21,010000,7,6,0,0,10,7,354,1
15,195,MAT191,050500,2,2,0,0,21,7,12,1
16,195,MAT220,010100,17,10,0,0,11,51,342,1
17,195,MAT236,020000,20,13,0,0,18,12,357,1
18,195,MAT569,010000,3,3,0,0,8,48,168,1
19,195,MAT570,010000,3,3,0,0,11,59,108,1
20,195,MAT571,010000,5,5,0,0,8,28,252,1
21,195,MAT701,010000,3,2,0,0,2,102,194,1
22,195,MATA02,200000,40,6,34,0,34,15,97,1
23,195,MATA07,110000,45,45,0,0,50,23,329,1
24,195,MATA37,030300,40,6,34,0,19,56,97,1
25,195,MATA39,020000,45,9,36,0,15,55,229,1
26,195,MATA42,020200,45,9,36,0,39,51,88,1
27,195,MATA42,040400,10,10,0,0,28,80,186,1
28,195,MATA49,020200,15,15,0,0,20,25,310,1
29,195,MATA50,010100,5,5,0,0,6,75,356,1
30,195,MATA55,020200,20,20,0,0,30,26,98,1
31,195,MATA56,010100,25,19,0,0,21,16,188,1
32,195,MATA57,000100,10,2,0,0,2,2,178,1
33,195,MATA58,020200,35,35,0,0,52,22,136,1
34,195,MATA59,010100,15,15,0,0,32,26,77,1
35,195,MATA60,010100,25,25,0,0,42,16,155,1
36,195,MATA61,010100,10,10,0,0,15,51,251,1
37,195,MATA62,010100,10,10,0,0,15,24,140,1
38,195,MATA63,020200,40,18,0,0,20,3,200,1
39,195,MATA64,020200,40,13,0,0,26,3,162,1
40,195,MATA68,020200,45,9,36,0,25,55,97,1
41,195,MATA82,010100,15,15,0,0,28,7,149,1
42,195,MATB02,010100,30,12,0,0,13,10,259,1
43,195,MATB05,010100,15,7,0,0,12,9,292,1
44,195,MATB09,000100,15,7,0,0,14,28,259,1
45,195,MATB10,010100,15,4,0,0,12,119,292,1
46,195,MATB19,010100,25,14,0,0,20,14,357,1
47,195,MATC53,000100,2,2,0,0,9,6,21,1
48,195,MATC72,010100,35,8,0,0,11,13,357,1
49,195,MATC73,010100,20,18,0,0,20,29,356,1
50,195,MATC84,000100,32,18,0,0,24,16,176,1
51,195,MATC90,010000,30,29,0,0,36,36,354,1
52,195,MATC94,010000,25,16,0,0,24,49,356,1
53,195,MATC96,010100,15,2,0,0,3,39,107,1
54,195,MATC97,010000,2,1,0,0,1,28,28,1
55,195,MATC97,030000,5,1,0,0,1,35,35,1
56,195,MATC97,060000,5,1,0,0,1,357,357,1
57,195,MATC97,110000,1,1,0,0,1,39,39,1
58,195,MATC97,190000,4,1,0,0,1,78,78,1
59,195,MATC97,210000,2,2,0,0,2,4,10,1
60,195,MATC98,010100,2,1,0,0,1,104,104,1
61,195,MATC98,020200,5,3,0,0,3,7,117,1
62,195,MATC98,050500,5,2,0,0,2,50,134,1
63,195,MATC98,080800,1,1,0,0,1,107,107,1
64,195,MATC98,090900,3,3,0,0,3,11,171,1
65,195,MATC98,131300,1,1,0,0,1,137,137,1
66,195,MATC98,141400,3,2,0,0,2,8,173,1
67,195,MATC98,161600,1,1,0,0,1,2,2,1
68,195,MATC99,010000,37,10,0,0,10,1,178,1
69,195,MATD04,010100,25,12,0,0,14,43,314,1
70,195,MATE04,010000,5,5,0,0,13,1,110,1
71,195,MATE27,010000,5,3,0,0,3,13,208,1
72,195,MATE36,010000,5,2,0,0,2,59,110,1
73,195,MATE64,010000,5,5,0,0,10,28,115,1
74,195,MATE85,010000,10,5,0,0,14,13,329,1
75,195,MATE94,010000,5,2,0,0,3,28,222,1
76,195,MATF25,010000,5,4,0,0,8,5,117,1
77,195,MATF34,000100,15,9,0,0,12,4,357,1
