,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,286,ADM001,020000,10,10,0,0,17,21,617,1
1,286,ADM001,030000,3,3,0,0,10,464,757,1
2,286,ADM001,070000,5,3,0,0,6,78,463,1
3,286,ADM001,080000,5,3,0,0,8,446,590,1
4,286,ADM001,100000,5,2,0,0,8,475,811,1
5,286,BIO103,010100,2,2,0,0,27,42,118,1
6,286,BIO139,010000,1,1,0,0,4,473,473,1
7,286,BIO158,020400,2,2,0,0,22,29,38,1
8,286,BIO158,020500,2,2,0,0,15,107,237,1
9,286,BIO158,020600,2,2,0,0,16,42,118,1
10,286,BIOA92,010000,1,1,0,0,12,262,262,1
11,286,BIOA92,020000,1,1,0,0,6,267,267,1
12,286,BIOB24,030000,4,4,0,0,11,243,417,1
13,286,BIOB26,020400,3,3,0,0,6,352,468,1
14,286,BIOB26,020500,3,2,0,0,4,575,613,1
15,286,BIOB35,010100,2,2,0,0,8,295,387,1
16,286,BIOD08,010100,7,7,0,0,57,49,132,1
17,286,BIOD08,010200,8,8,0,0,61,68,133,1
18,286,EDC067,010100,2,2,0,0,44,36,41,1
19,286,EDC067,020200,4,4,0,0,39,17,26,1
20,286,EDC209,020200,3,3,0,0,20,18,127,1
21,286,EDC209,030300,5,5,0,0,12,36,265,1
22,286,EDC245,010100,2,2,0,0,17,177,245,1
23,286,EDCD51,020000,3,3,0,0,64,17,76,1
24,286,EDCK71,010100,1,1,0,0,38,3,3,1
25,286,ENFA79,000100,2,2,0,0,100,23,27,1
26,286,ENFC32,010000,2,2,0,0,12,15,27,1
27,286,ENFC52,010100,1,1,0,0,66,3,3,1
28,286,ENFC69,010100,2,2,0,0,77,15,22,1
29,286,FAR176,020000,5,5,0,0,9,506,835,1
30,286,FAR457,000100,3,3,0,0,132,11,25,1
31,286,FARA01,020000,4,4,0,0,15,120,363,1
32,286,FARA94,000100,3,3,0,0,102,20,26,1
33,286,FARB12,010300,10,10,0,0,109,22,78,1
34,286,FARC20,010000,5,5,0,0,11,175,506,1
35,286,FCH332,010000,6,6,0,0,21,42,350,1
36,286,FCHE19,010000,5,5,0,0,8,86,382,1
37,286,FCHE26,010000,5,5,0,0,12,304,428,1
38,286,FCHE36,010100,5,5,0,0,11,176,387,1
39,286,FCHE37,020000,5,5,0,0,13,36,285,1
40,286,FCHE43,010000,5,4,0,0,7,428,624,1
41,286,FCHE60,010000,5,5,0,0,7,187,561,1
42,286,FCHE94,020000,5,5,0,0,7,125,537,1
43,286,FCHF47,010000,5,3,0,0,4,11,612,1
44,286,FCHF53,010000,5,2,0,0,4,612,759,1
45,286,FCHF54,010000,5,2,0,0,3,82,786,1
46,286,FOFA51,000600,1,1,0,0,6,278,278,1
47,286,GEOA83,020000,25,25,0,0,99,16,128,1
48,286,HACA10,050000,55,5,50,0,14,21,551,1
49,286,HACA10,060000,55,5,50,0,7,512,835,1
50,286,HACA34,030000,12,12,0,0,26,95,307,1
51,286,HACA34,040000,12,12,0,0,42,59,211,1
52,286,HACA34,070000,12,12,0,0,7,326,806,1
53,286,HACA34,080000,12,12,0,0,26,15,308,1
54,286,HACA34,090000,12,1,0,0,5,171,171,1
55,286,HACA34,100000,12,2,0,0,6,355,607,1
