,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,315,ADMJ86,010100,2,2,0,0,9,29,52,1
1,315,BIO159,010200,17,2,15,0,13,10,15,1
2,315,BIO159,010300,18,3,15,0,12,24,96,1
3,315,BIOD49,010100,1,1,0,0,6,105,105,1
4,315,EDC062,010100,22,9,0,0,14,9,279,1
5,315,EDC067,010100,15,11,0,0,17,6,254,1
6,315,EDC067,020200,4,4,0,0,8,117,248,1
7,315,EDC221,010100,22,6,0,0,11,15,261,1
8,315,EDC224,010100,26,10,0,0,13,10,271,1
9,315,EDC227,010100,20,8,0,0,12,89,271,1
10,315,EDC238,010100,10,10,0,0,25,89,142,1
11,315,EDC241,010100,25,25,0,0,34,3,166,1
12,315,EDC243,010100,36,22,0,0,27,32,308,1
13,315,EDC245,010100,25,25,0,0,35,1,308,1
14,315,EDC247,010100,25,17,0,0,24,4,279,1
15,315,EDC264,010100,25,6,0,0,7,12,275,1
16,315,EDCA01,020200,6,6,0,0,17,5,109,1
17,315,EDCA01,030300,3,3,0,0,7,47,142,1
18,315,EDCA01,050500,8,8,0,0,16,29,200,1
19,315,EDCA02,040400,12,12,0,0,18,8,198,1
20,315,EDCA02,080800,12,12,0,0,17,3,151,1
21,315,EDCA13,010100,15,6,0,0,7,15,275,1
22,315,EDCA70,010000,20,9,0,0,12,1,163,1
23,315,EDCA70,020000,20,19,0,0,19,2,183,1
24,315,EDCD40,010000,50,5,45,0,18,26,114,1
25,315,EDCD49,010100,27,12,0,0,15,24,294,1
26,315,EDCD50,010100,27,16,0,0,23,32,309,1
27,315,EDCD51,010000,35,22,0,0,30,14,243,1
28,315,EDCD52,000100,25,8,0,0,13,30,294,1
29,315,EDCD53,010100,30,27,0,0,30,37,275,1
30,315,EDCD54,010100,30,14,0,0,18,22,231,1
31,315,EDCD55,000100,30,6,0,0,12,14,174,1
32,315,EDCD56,010000,30,13,0,0,17,15,194,1
33,315,EDCD57,010100,27,18,0,0,22,22,294,1
34,315,EDCD58,010100,27,9,0,0,14,49,254,1
35,315,EDCD59,010000,25,16,0,0,22,16,207,1
36,315,EDCD60,010100,30,24,0,0,32,16,207,1
37,315,EDCD61,010100,30,18,0,0,26,21,208,1
38,315,EDCD62,000100,20,20,0,0,33,16,87,1
39,315,EDCD64,010000,30,5,0,0,6,55,162,1
40,315,EDCD64,020000,30,7,0,0,7,39,174,1
41,315,EDCD65,010100,27,3,0,0,11,7,209,1
42,315,EDCD70,010000,30,17,0,0,22,12,223,1
43,315,EDCD71,000001,15,10,0,0,15,2,174,1
44,315,EDCD72,000001,15,15,0,0,15,2,166,1
45,315,EDCD73,000001,15,10,0,0,13,2,157,1
46,315,EDCD74,000001,15,13,0,0,14,5,162,1
47,315,EDCD75,010100,30,26,0,0,30,10,233,1
48,315,EDCD76,010100,50,5,45,0,14,22,106,1
49,315,EDCH82,010100,2,2,0,0,6,53,140,1
50,315,EDCK71,010100,1,1,0,0,13,1,1,1
51,315,FCH001,160000,50,5,45,0,17,24,74,1
52,315,FCH007,010000,30,18,0,0,19,2,294,1
53,315,FCH244,010000,2,1,0,0,1,200,200,1
54,315,ICS007,051100,12,12,0,0,33,14,123,1
55,315,ICS007,051200,13,13,0,0,17,15,195,1
56,315,ICS021,020300,13,13,0,0,30,6,61,1
57,315,ICS021,020400,12,12,0,0,10,63,182,1
58,315,ICS048,010400,10,7,0,0,10,22,182,1
59,315,LETE46,040400,15,15,0,0,25,16,151,1
60,315,LETE46,050500,10,10,0,0,16,25,128,1
61,315,NUT170,010200,5,5,0,0,14,1,111,1
