,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,189,ADM001,050000,5,5,0,0,69,17,89,1
1,189,ADM001,070000,5,5,0,0,38,4,177,1
2,189,ADM170,010000,5,5,0,0,19,121,295,1
3,189,ADM170,030000,5,5,0,0,14,8,268,1
4,189,ADM173,020000,3,3,0,0,16,34,139,1
5,189,ADM178,010100,2,2,0,0,36,13,48,1
6,189,ADM207,010000,5,5,0,0,24,8,168,1
7,189,ADM214,010000,2,2,0,0,14,71,121,1
8,189,ADMA95,010100,4,4,0,0,25,157,204,1
9,189,ADME99,010000,5,5,0,0,49,30,64,1
10,189,ADMF55,020000,5,2,0,0,6,271,359,1
11,189,ADMF58,020000,2,2,0,0,6,139,318,1
12,189,ADMJ86,010100,2,2,0,0,9,34,59,1
13,189,ARQ011,020200,1,1,0,0,22,51,51,1
14,189,ARQ011,101000,4,4,0,0,36,50,135,1
15,189,ARQ013,121200,3,3,0,0,26,50,86,1
16,189,ARQ019,020200,1,1,0,0,22,7,7,1
17,189,ARQ022,040400,1,1,0,0,9,75,75,1
18,189,ARQ039,020200,3,3,0,0,4,19,731,1
19,189,ARQ044,010100,1,1,0,0,2,138,138,1
20,189,ARQ046,010000,1,1,0,0,23,67,67,1
21,189,ARQ046,020000,1,1,0,0,23,19,19,1
22,189,ARQ141,020200,1,1,0,0,12,67,67,1
23,189,ARQ141,060600,1,1,0,0,10,242,242,1
24,189,ARQ141,080800,1,1,0,0,10,14,14,1
25,189,ARQA19,010000,1,1,0,0,33,35,35,1
26,189,ARQA20,101000,2,2,0,0,13,86,144,1
27,189,ARQA28,010100,3,3,0,0,12,5,86,1
28,189,ARQA34,010100,3,3,0,0,11,5,144,1
29,189,ARQA35,000100,3,3,0,0,8,19,256,1
30,189,ARQA50,010000,2,2,0,0,13,8,142,1
31,189,ARQA50,020000,2,2,0,0,10,159,183,1
32,189,ARQA53,010100,3,3,0,0,20,14,212,1
33,189,ARQA54,010100,2,2,0,0,11,139,143,1
34,189,ARQA55,010000,6,6,0,0,14,19,200,1
35,189,ARQA55,020000,3,3,0,0,8,67,212,1
36,189,ARQB72,020200,1,1,0,0,11,7,7,1
37,189,ARQB72,050500,1,1,0,0,13,14,14,1
38,189,ARQB74,040400,2,2,0,0,17,75,148,1
39,189,BIO143,010100,2,2,0,0,16,48,70,1
40,189,BIOB26,020400,1,1,0,0,1,109,109,1
41,189,BIOD73,010100,1,1,0,0,8,75,75,1
42,189,EDC272,020200,2,2,0,0,14,34,76,1
43,189,EDC282,020200,3,3,0,0,17,30,81,1
44,189,EDC287,050500,1,1,0,0,20,123,123,1
45,189,EDCA02,020200,3,1,0,0,1,619,619,1
46,189,EDCA02,030300,2,1,0,0,1,551,551,1
47,189,ENG001,020200,5,1,0,0,11,465,465,1
48,189,ENG003,010100,3,3,0,0,7,47,169,1
