,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,210,ADMJ86,010100,2,2,0,0,10,74,76,1
1,210,BIO159,010100,2,2,0,0,8,63,74,1
2,210,BIO165,010100,45,13,32,0,17,54,320,1
3,210,EDC209,030300,5,5,0,0,27,36,98,1
4,210,EDC287,020200,1,1,0,0,8,39,39,1
5,210,EDCA01,070700,1,1,0,0,10,74,74,1
6,210,EDCB89,010100,5,5,0,0,22,11,25,1
7,210,EDCD51,020000,10,10,0,0,35,16,84,1
8,210,EDCK97,020200,3,3,0,0,15,10,34,1
9,210,ENFC52,010100,2,2,0,0,4,10,19,1
10,210,FCH006,020000,30,6,24,0,10,284,320,1
11,210,FOF025,010100,8,8,0,0,16,181,221,1
12,210,FOF025,020200,8,8,0,0,13,151,245,1
13,210,FOF025,030300,8,3,0,0,4,219,292,1
14,210,FOF025,040400,8,1,0,0,4,243,243,1
15,210,HACA50,010000,2,2,0,0,14,56,76,1
16,210,HACE83,010100,1,1,0,0,3,69,69,1
17,210,ICS007,040800,21,3,18,0,15,25,256,1
18,210,ICS073,010000,37,5,32,0,19,23,284,1
19,210,ICS076,010100,15,15,0,0,30,25,254,1
20,210,ICS076,010200,15,6,0,0,11,249,283,1
21,210,ICS085,010100,10,10,0,0,15,102,134,1
22,210,ICS087,010100,8,8,0,0,21,12,112,1
23,210,ICS087,010200,8,2,0,0,4,149,268,1
24,210,ICS098,010000,20,20,0,0,28,40,240,1
25,210,ICS105,010000,30,19,0,0,22,129,349,1
26,210,ICSA95,010100,16,16,0,0,23,26,260,1
27,210,ICSA95,010200,16,8,0,0,13,31,348,1
28,210,ICSA96,010100,15,8,0,0,13,249,287,1
29,210,ICSA96,010200,15,15,0,0,32,25,240,1
30,210,ICSA99,010100,18,18,0,0,35,25,252,1
31,210,ICSA99,010200,18,18,0,0,19,36,307,1
32,210,ICSB01,010000,37,23,0,0,24,23,341,1
33,210,ICSB02,010100,28,28,0,0,35,25,283,1
34,210,ICSB03,010100,25,16,0,0,16,178,349,1
35,210,ICSB08,010100,10,10,0,0,25,23,215,1
36,210,ICSB08,020200,10,10,0,0,16,219,244,1
37,210,ICSB08,030300,7,4,0,0,8,25,271,1
38,210,ICSB09,010000,27,22,0,0,25,183,344,1
39,210,ICSB10,010100,15,11,0,0,22,191,250,1
40,210,ICSB10,010200,15,15,0,0,25,106,223,1
41,210,ICSB11,010100,15,15,0,0,24,140,207,1
42,210,ICSB11,010200,15,8,0,0,15,179,230,1
43,210,ICSB12,010100,30,23,0,0,24,129,247,1
44,210,ICSB15,010000,25,25,0,0,47,80,175,1
45,210,ICSB16,010000,30,30,0,0,42,23,274,1
46,210,ICSB18,010100,10,10,0,0,21,204,223,1
47,210,ICSB18,010400,10,9,0,0,14,179,289,1
48,210,ICSB18,020200,10,10,0,0,25,126,198,1
49,210,ICSB18,020300,10,1,0,0,4,207,207,1
50,210,ICSB19,010000,30,27,0,0,28,117,235,1
51,210,ICSB20,010000,30,23,0,0,23,93,269,1
52,210,ICSB21,010000,30,17,0,0,19,93,229,1
53,210,ICSB22,010000,30,30,0,0,45,68,148,1
54,210,ICSB24,000100,10,10,0,0,20,55,100,1
55,210,ICSB24,000200,10,8,0,0,10,18,269,1
56,210,ICSB25,010100,36,28,0,0,29,93,268,1
57,210,ICSB26,010100,30,26,0,0,26,102,353,1
58,210,ICSB27,010100,30,23,0,0,25,90,353,1
59,210,ICSB28,010100,12,12,0,0,26,68,102,1
60,210,ICSB28,010200,12,5,0,0,8,98,185,1
61,210,ICSB30,010100,30,28,0,0,28,126,247,1
62,210,ICSB31,010100,25,22,0,0,25,127,353,1
63,210,ICSB32,010100,25,25,0,0,27,99,269,1
64,210,ICSB33,010000,27,27,0,0,57,25,114,1
65,210,ICSB34,010100,10,10,0,0,13,68,162,1
66,210,ICSB34,010200,10,10,0,0,21,80,101,1
67,210,ICSB34,010300,10,5,0,0,9,94,118,1
68,210,ICSB35,010100,15,15,0,0,22,99,131,1
69,210,ICSB35,010200,15,1,0,0,2,134,134,1
70,210,ICSB36,010100,10,6,0,0,10,54,125,1
71,210,ICSB36,020200,10,10,0,0,16,37,62,1
72,210,ICSB37,010100,10,9,0,0,12,1,73,1
73,210,ICSB37,020200,10,10,0,0,13,2,86,1
74,210,ICSB38,000001,5,5,0,0,14,18,92,1
75,210,ICSB38,000002,5,5,0,0,7,70,200,1
76,210,ICSB38,000003,5,5,0,0,12,68,113,1
77,210,ICSB38,000004,5,3,0,0,7,16,163,1
78,210,ICSB38,000005,5,5,0,0,11,80,139,1
79,210,ICSB39,000001,5,3,0,0,6,53,65,1
80,210,ICSB39,000002,4,4,0,0,6,55,108,1
81,210,ICSB39,000003,5,5,0,0,16,49,72,1
82,210,ICSB39,000004,4,4,0,0,14,56,66,1
83,210,ICSB39,000006,4,4,0,0,7,63,89,1
84,210,ICSB39,000007,5,5,0,0,13,15,54,1
85,210,ICSB40,000001,2,2,0,0,5,42,48,1
86,210,ICSB40,000002,3,2,0,0,5,108,138,1
87,210,ICSB40,000003,2,2,0,0,4,54,115,1
88,210,ICSB40,000004,2,1,0,0,3,43,43,1
89,210,ICSB40,000005,2,2,0,0,6,46,57,1
90,210,ICSB40,000006,3,2,0,0,2,7,62,1
91,210,ICSB40,000007,3,2,0,0,8,37,59,1
92,210,ICSB40,000008,3,2,0,0,4,40,45,1
93,210,ICSB40,000009,3,3,0,0,5,41,58,1
94,210,ICSB41,000001,1,1,0,0,3,1,1,1
95,210,ICSB41,000002,2,2,0,0,5,3,13,1
96,210,ICSB41,000003,2,2,0,0,4,8,12,1
97,210,ICSB41,000004,1,1,0,0,7,9,9,1
98,210,ICSB41,000005,2,1,0,0,1,20,20,1
99,210,ICSB41,000006,2,2,0,0,4,7,10,1
100,210,ICSB41,000007,1,1,0,0,4,4,4,1
101,210,ICSB41,000008,4,4,0,0,4,11,88,1
102,210,ICSB41,000009,1,1,0,0,3,49,49,1
103,210,ICSB41,000010,2,2,0,0,3,62,78,1
104,210,ICSB41,000011,1,1,0,0,3,2,2,1
105,210,ICSB42,000001,5,4,0,0,7,53,100,1
106,210,ICSB42,000002,5,5,0,0,9,65,93,1
107,210,ICSB42,000003,5,5,0,0,10,73,89,1
108,210,ICSB42,000004,5,5,0,0,10,48,61,1
109,210,ICSB42,000005,5,2,0,0,7,52,63,1
110,210,ICSB43,000001,5,5,0,0,17,10,43,1
111,210,ICSB43,000002,5,5,0,0,13,37,45,1
112,210,ICSB43,000004,5,3,0,0,4,8,66,1
113,210,ICSB44,000001,1,1,0,0,2,11,11,1
114,210,ICSB44,000002,1,1,0,0,3,2,2,1
115,210,ICSB44,000004,1,1,0,0,4,8,8,1
116,210,ICSB44,000005,1,1,0,0,3,4,4,1
117,210,ICSB44,000006,1,1,0,0,1,5,5,1
