,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,508,LETA37,000200,3,1,0,0,2,7,7,1
1,508,LETB45,000100,3,1,0,0,2,14,14,1
2,508,MUS182,010000,3,2,0,0,2,1,17,1
3,508,MUSA30,010100,2,1,0,0,1,17,17,1
4,508,MUSA60,010100,3,1,0,0,2,16,16,1
5,508,MUSA60,020200,4,2,0,0,2,5,15,1
6,508,MUSA62,020200,3,3,0,0,3,6,17,1
7,508,MUSA63,010100,2,2,0,0,3,8,12,1
8,508,MUSA65,010100,2,1,0,0,2,14,14,1
9,508,MUSA70,010100,2,2,0,0,2,1,11,1
10,508,MUSA71,020200,4,1,0,0,1,14,14,1
11,508,MUSA72,010100,3,2,0,0,2,7,17,1
12,508,MUSA78,010000,2,1,0,0,1,8,8,1
13,508,MUSA79,010000,3,2,0,0,3,12,17,1
14,508,MUSA80,010000,5,3,0,0,3,1,10,1
15,508,MUSB56,010100,1,1,0,0,1,5,5,1
16,508,MUSB57,010100,1,1,0,0,2,1,1,1
17,508,MUSB71,010100,2,2,0,0,3,1,17,1
18,508,MUSB78,002100,5,5,0,0,6,5,16,1
19,508,MUSB79,000100,3,2,0,0,2,5,16,1
20,508,MUSC24,000100,1,1,0,0,1,16,16,1
21,508,MUSC26,000100,1,1,0,0,2,1,1,1
22,508,MUSC26,000200,1,1,0,0,1,6,6,1
23,508,MUSC26,000300,1,1,0,0,1,10,10,1
24,508,MUSC27,000100,1,1,0,0,1,15,15,1
25,508,MUSC28,000100,1,1,0,0,3,12,12,1
26,508,MUSC29,000200,1,1,0,0,1,8,8,1
27,508,MUSF24,010000,2,1,0,0,3,10,10,1
28,508,TEA085,010100,1,1,0,0,2,16,16,1
