,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,503,ADMJ86,010100,5,5,0,0,10,94,189,1
1,503,DAN001,010100,25,25,0,0,34,9,335,1
2,503,DAN005,020000,1,1,0,0,20,51,51,1
3,503,DAN068,010000,30,16,0,0,19,40,284,1
4,503,DAN164,010100,15,12,0,0,15,46,284,1
5,503,DAN265,010100,15,12,0,0,21,57,286,1
6,503,DAN265,020200,15,1,0,0,6,20,20,1
7,503,DANA03,010100,23,23,0,0,39,15,91,1
8,503,DANA03,020200,22,16,0,0,19,31,231,1
9,503,DANA07,010100,40,40,0,0,43,15,224,1
10,503,DANA11,010100,20,20,0,0,33,15,97,1
11,503,DANA11,020200,20,17,0,0,16,49,284,1
12,503,DANA23,010100,15,15,0,0,23,18,258,1
13,503,DANB32,010000,10,10,0,0,11,34,220,1
14,503,DANB41,000001,15,15,0,0,27,12,141,1
15,503,DANB41,000002,15,13,0,0,11,11,278,1
16,503,DANB43,000001,15,9,0,0,11,37,180,1
17,503,DANB44,000100,15,15,0,0,31,11,81,1
18,503,DANB44,000200,15,15,0,0,11,53,335,1
19,503,DANB46,000100,15,15,0,0,30,11,112,1
20,503,DANB46,000200,15,15,0,0,11,53,287,1
21,503,EDC067,010100,6,4,0,0,7,24,234,1
22,503,EDC067,020200,4,4,0,0,6,23,121,1
23,503,EDC209,030300,3,3,0,0,4,139,294,1
24,503,EDC221,010100,5,5,0,0,11,11,102,1
25,503,EDC238,010100,2,2,0,0,15,9,47,1
26,503,EDC267,010100,3,1,0,0,2,111,111,1
27,503,EDC291,030300,5,1,0,0,5,241,241,1
28,503,EDCA01,010100,5,5,0,0,8,12,116,1
29,503,EDCA01,020200,5,1,0,0,1,153,153,1
30,503,EDCA01,060600,5,4,0,0,5,131,278,1
31,503,EDCA01,070700,5,5,0,0,6,27,129,1
32,503,EDCA01,090900,5,2,0,0,4,155,162,1
33,503,EDCA02,010100,5,4,0,0,4,48,203,1
34,503,EDCA02,030300,5,2,0,0,3,16,68,1
35,503,EDCA02,060600,5,2,0,0,2,128,155,1
36,503,EDCA02,070700,10,3,0,0,4,138,162,1
37,503,EDCA02,090900,5,1,0,0,1,117,117,1
38,503,EDCA04,010100,5,4,0,0,4,12,131,1
39,503,EDCA04,020200,5,4,0,0,4,85,275,1
40,503,EDCA11,000100,10,10,0,0,14,17,158,1
41,503,EDCA11,000200,3,3,0,0,7,12,62,1
42,503,EDCA11,000600,5,5,0,0,18,11,81,1
43,503,EDCA11,000900,2,2,0,0,5,88,117,1
44,503,EDCA12,000100,3,2,0,0,2,16,68,1
45,503,EDCA12,000200,4,3,0,0,5,79,211,1
46,503,EDCA12,000700,4,1,0,0,3,156,156,1
47,503,EDCH82,010100,1,1,0,0,5,40,40,1
48,503,EDCJ90,010100,5,2,0,0,4,178,277,1
49,503,EDCK71,010100,1,1,0,0,8,76,76,1
50,503,EDCK75,010000,4,2,0,0,3,111,278,1
51,503,FCH002,010100,6,3,0,0,3,109,277,1
52,503,FCH124,040000,5,2,0,0,3,131,150,1
53,503,FCH128,010000,5,2,0,0,3,108,312,1
54,503,HACE83,010100,1,1,0,0,1,131,131,1
55,503,IPSA39,010000,1,1,0,0,9,73,73,1
56,503,LETA36,000200,10,1,0,0,2,250,250,1
57,503,LETC47,010000,1,1,0,0,3,131,131,1
58,503,LETC53,010000,2,1,0,0,1,109,109,1
59,503,LETE46,030300,7,7,0,0,18,29,149,1
60,503,LETE46,121200,7,3,0,0,4,8,154,1
61,503,LETE48,020200,5,1,0,0,1,241,241,1
62,503,LETE48,101000,5,4,0,0,5,9,151,1
63,503,MUSF36,000100,2,2,0,0,9,62,234,1
64,503,TEA085,010100,1,1,0,0,18,20,20,1
