,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,107,ADM012,030300,20,12,0,0,13,27,226,1
1,107,ARQ011,010100,10,10,0,0,19,26,181,1
2,107,ARQ011,090900,2,2,0,0,7,119,153,1
3,107,ARQ011,111100,10,10,0,0,24,28,37,1
4,107,ARQ013,111100,20,18,18,16,11,39,132,1
5,107,BIO009,010100,22,7,0,0,12,27,244,1
6,107,BIO009,010200,23,14,0,0,19,29,241,1
7,107,BIOC78,000100,2,2,0,0,6,76,86,1
8,107,BIOD72,020200,1,1,0,0,5,233,233,1
9,107,DIR175,030300,15,12,0,0,19,48,251,1
10,107,ECOB40,120000,15,9,0,0,12,25,213,1
11,107,ENG001,020200,20,9,0,0,10,102,253,1
12,107,ENG002,010100,15,7,0,0,7,69,203,1
13,107,ENG002,020200,15,1,0,0,2,152,152,1
14,107,ENG003,010100,10,3,0,0,3,45,264,1
15,107,ENG014,010100,25,23,18,16,10,39,219,1
16,107,ENG015,010100,20,10,0,0,11,50,120,1
17,107,ENG016,010100,15,5,0,0,5,50,116,1
18,107,ENG059,010100,10,10,0,0,31,5,85,1
19,107,ENG060,010100,10,8,0,0,14,102,243,1
20,107,ENG060,010200,10,7,0,0,11,79,149,1
21,107,ENG060,010300,10,2,0,0,5,162,174,1
22,107,ENG118,010100,8,8,0,0,11,53,86,1
23,107,ENG118,020200,12,12,0,0,15,12,123,1
24,107,ENG128,010100,20,15,0,0,17,112,253,1
25,107,ENG136,020200,20,11,0,0,11,79,228,1
26,107,ENG137,010100,15,6,0,0,6,49,203,1
27,107,ENG214,010100,20,14,0,0,14,19,263,1
28,107,ENG271,010100,7,7,0,0,20,91,137,1
29,107,ENG271,010200,7,7,0,0,14,126,157,1
30,107,ENG271,010300,7,4,0,0,5,115,149,1
31,107,ENG272,010100,20,4,0,0,5,19,264,1
32,107,ENG273,010100,20,6,0,0,6,6,81,1
33,107,ENG274,010100,20,8,0,0,8,85,243,1
34,107,ENG277,010100,25,8,0,0,8,3,68,1
35,107,ENG281,010100,25,17,0,0,18,3,260,1
36,107,ENG288,010001,20,6,0,0,6,53,188,1
37,107,ENG295,010100,3,3,0,0,10,11,65,1
38,107,ENG295,020200,3,3,0,0,5,51,142,1
39,107,ENG295,030300,2,2,0,0,9,23,59,1
40,107,ENG296,010100,7,4,0,0,4,60,117,1
41,107,ENG296,020200,8,8,0,0,15,12,65,1
42,107,ENG298,010100,7,7,0,0,8,50,263,1
43,107,ENG298,020200,8,2,0,0,6,86,261,1
44,107,ENG301,010100,4,1,0,0,2,87,87,1
45,107,ENG301,020200,10,5,0,0,5,19,203,1
46,107,ENG352,010100,20,9,0,0,9,50,203,1
47,107,ENG370,010100,15,3,0,0,3,98,148,1
48,107,ENG371,030300,20,19,0,0,19,50,263,1
49,107,ENG383,020200,15,4,0,0,6,15,264,1
50,107,ENG384,010100,20,10,0,0,12,3,263,1
51,107,ENGA52,010100,4,4,0,0,13,26,34,1
52,107,ENGA52,040400,5,5,0,0,29,32,80,1
53,107,ENGA54,040700,10,4,0,0,7,17,100,1
54,107,ENGA54,040800,10,2,0,0,5,96,165,1
55,107,ENGF13,010100,2,2,0,0,3,4,8,1
56,107,ENGF13,020200,2,2,0,0,2,9,14,1
57,107,ENGF13,030300,2,2,0,0,2,13,21,1
58,107,ENGF13,040400,2,2,0,0,1,17,22,1
59,107,ENGF13,050500,1,1,0,0,1,24,24,1
60,107,ENGF13,070700,2,2,0,0,3,6,10,1
61,107,ENGF13,080800,1,1,0,0,1,5,5,1
62,107,ENGF13,101000,2,2,0,0,3,1,12,1
63,107,ENGF13,111100,1,1,0,0,3,18,18,1
64,107,ENGF13,121200,3,3,0,0,1,11,93,1
65,107,ENGF13,131300,1,1,0,0,1,3,3,1
66,107,ENGJ93,010100,10,3,0,0,4,8,23,1
67,107,ENGJ94,010100,20,2,0,0,3,57,264,1
68,107,ENGL27,010100,20,16,0,0,16,6,260,1
69,107,ENGN90,010000,10,3,0,0,6,98,152,1
70,107,ENGN90,020000,10,9,0,0,11,84,228,1
71,107,ENGN94,010100,2,2,0,0,12,45,71,1
72,107,FCHE02,010100,2,2,0,0,6,40,125,1
73,107,FISD34,060000,15,15,0,0,23,112,153,1
74,107,FISD36,110000,20,20,0,0,38,25,159,1
75,107,FISD37,080000,15,8,0,0,8,30,205,1
76,107,FISD38,040000,15,3,0,0,5,165,264,1
77,107,FISD39,001100,15,6,0,0,10,11,264,1
78,107,FISD40,001500,15,8,0,0,8,30,203,1
79,107,FISD41,000900,11,11,0,0,17,113,143,1
80,107,FISD41,001000,1,1,0,0,3,27,27,1
81,107,FISD42,220000,22,22,0,0,26,25,231,1
82,107,GEO004,010200,12,10,5,3,11,25,185,1
83,107,ICS459,000200,1,1,0,0,6,147,147,1
84,107,ISCB38,010000,2,2,0,0,11,119,144,1
85,107,MAT174,030300,5,1,0,0,1,243,243,1
86,107,MAT174,060600,5,2,0,0,2,79,116,1
87,107,MAT236,050000,15,15,0,0,19,102,174,1
88,107,MATA01,020000,25,23,18,16,23,27,164,1
89,107,MATA02,030000,20,18,18,16,17,29,33,1
90,107,MATA03,020000,26,8,0,0,8,26,180,1
91,107,MATA04,040000,10,10,0,0,25,126,147,1
92,107,MATA07,030000,17,17,0,0,24,140,180,1
93,107,QUI029,090900,20,20,0,0,25,26,208,1
