,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,403,EDC142,010101,2,2,0,0,3,358,442,1
1,403,EDC209,010100,5,4,0,0,5,6,447,1
2,403,EDC209,040400,8,1,0,0,2,129,129,1
3,403,EDC267,010100,5,2,0,0,5,458,646,1
4,403,EDC273,010100,5,4,0,0,8,50,442,1
5,403,EDC283,010100,5,4,0,0,5,245,442,1
6,403,EDC286,020200,10,7,0,0,10,6,624,1
7,403,EDC286,030300,8,4,0,0,6,26,646,1
8,403,EDC287,060600,3,3,0,0,7,23,282,1
9,403,EDC290,010100,7,5,0,0,10,152,384,1
10,403,EDC290,020200,2,2,0,0,9,33,40,1
11,403,EDC291,010100,10,4,0,0,7,129,605,1
12,403,EDC304,010100,5,5,0,0,14,23,266,1
13,403,EDC308,010100,4,4,0,0,7,6,108,1
14,403,EDCA01,030300,12,2,0,0,3,31,103,1
15,403,EDCA01,040400,11,3,0,0,7,32,552,1
16,403,EDCA01,070700,8,2,0,0,4,207,339,1
17,403,EDCA02,010100,5,1,0,0,3,512,512,1
18,403,EDCA03,010100,15,3,0,0,3,102,580,1
19,403,EDCA04,010100,5,4,0,0,4,59,566,1
20,403,EDCA04,020200,7,2,0,0,2,10,580,1
21,403,EDCA04,050500,4,3,0,0,6,206,624,1
22,403,EDCA04,060600,10,3,0,0,5,25,552,1
23,403,EDCA11,000300,5,5,0,0,12,32,284,1
24,403,EDCA11,000500,5,5,0,0,12,1,206,1
25,403,EDCA12,000600,2,2,0,0,13,1,25,1
26,403,EDCA12,000800,10,10,0,0,18,32,267,1
27,403,EDCB90,010100,7,3,0,0,3,59,489,1
28,403,EDCB91,020200,5,3,0,0,5,40,181,1
29,403,EDCB98,010100,3,3,0,0,7,25,190,1
30,403,FARA94,000100,2,2,0,0,2,100,339,1
31,403,LET330,010100,7,1,0,0,1,475,475,1
32,403,LET398,010100,7,3,0,0,3,142,635,1
33,403,LET408,010100,7,4,0,0,5,22,635,1
34,403,LETA03,000100,10,10,0,0,19,128,285,1
35,403,LETA04,000100,15,14,0,0,16,45,533,1
36,403,LETA04,000200,15,9,0,0,9,62,636,1
37,403,LETA06,000100,15,9,0,0,10,45,475,1
38,403,LETA06,000200,15,9,0,0,10,62,636,1
39,403,LETA09,000600,30,12,13,0,15,72,643,1
40,403,LETA09,000700,5,2,0,0,6,572,604,1
41,403,LETA10,040000,45,10,30,5,7,161,577,1
42,403,LETA10,050000,10,6,0,0,8,70,643,1
43,403,LETA10,060000,10,2,0,0,4,72,128,1
44,403,LETA10,090000,20,8,2,0,9,121,638,1
45,403,LETA11,020000,36,11,30,5,9,92,407,1
46,403,LETA11,030000,19,3,2,0,5,70,643,1
47,403,LETA11,040000,20,4,11,0,5,72,572,1
48,403,LETA12,030000,5,2,3,0,4,68,433,1
49,403,LETA12,040000,20,5,10,0,5,72,577,1
50,403,LETA12,070000,10,6,0,0,6,74,643,1
51,403,LETA12,080000,10,1,0,0,2,572,572,1
52,403,LETA14,000500,4,4,0,0,13,70,111,1
53,403,LETA14,000800,10,4,0,0,8,162,407,1
54,403,LETA14,000900,10,2,3,0,5,76,93,1
55,403,LETA14,001000,5,5,0,0,9,72,296,1
56,403,LETA15,000100,5,5,0,0,29,31,96,1
57,403,LETA18,010000,25,25,0,0,38,41,183,1
58,403,LETA18,030000,15,10,0,0,15,43,316,1
59,403,LETA19,010000,5,5,0,0,7,70,433,1
