,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,185,DIR175,030300,32,12,0,0,13,80,225,1
1,185,ECOB40,110000,30,22,0,0,24,136,305,1
2,185,ECOB40,190000,11,2,0,0,3,162,177,1
3,185,ECOB40,200000,10,7,0,0,9,98,252,1
4,185,ECOB40,210000,10,4,0,0,10,175,246,1
5,185,EDC282,020200,5,5,0,0,10,142,195,1
6,185,EDCB90,020200,2,2,0,0,14,59,85,1
7,185,ENG003,050500,30,2,0,0,2,71,107,1
8,185,ENG037,020200,20,13,0,0,14,28,100,1
9,185,ENG039,010100,31,7,0,0,10,30,300,1
10,185,ENG041,010100,35,12,0,0,13,94,273,1
11,185,ENG179,010100,30,15,0,0,17,23,314,1
12,185,ENG207,020200,30,7,0,0,10,80,295,1
13,185,ENG269,030300,5,2,0,0,4,152,156,1
14,185,ENG269,070700,15,4,0,0,5,136,310,1
15,185,ENG269,080800,10,4,0,0,6,140,191,1
16,185,ENG308,010100,30,21,0,0,26,4,262,1
17,185,ENG370,010100,10,10,0,0,37,56,107,1
18,185,ENG430,010100,25,12,0,0,15,33,309,1
19,185,ENG713,010000,35,30,0,0,38,3,314,1
20,185,ENGA62,010100,20,18,0,0,18,28,314,1
21,185,ENGD01,020200,35,26,0,0,30,89,312,1
22,185,ENGD02,020200,25,6,0,0,6,98,166,1
23,185,ENGF56,010100,50,1,49,0,16,43,43,1
24,185,ENGF79,010000,30,30,0,0,41,44,310,1
25,185,ENGF80,010000,14,5,0,0,6,60,201,1
26,185,ENGF81,010100,30,5,0,0,9,47,140,1
27,185,ENGF82,010100,30,12,0,0,16,40,309,1
28,185,ENGF83,010000,30,13,0,0,17,8,312,1
29,185,ENGF84,010100,30,10,0,0,11,5,81,1
30,185,ENGF85,010000,33,13,0,0,13,4,153,1
31,185,ENGF86,010000,30,7,0,0,10,55,305,1
32,185,ENGF87,010101,35,8,0,0,14,23,272,1
33,185,ENGF88,010000,20,10,0,0,12,12,312,1
34,185,ENGF88,020000,20,8,0,0,13,3,314,1
35,185,ENGF89,010000,5,5,0,0,7,2,50,1
36,185,ENGF89,020000,5,5,0,0,5,1,57,1
37,185,ENGF89,030000,5,4,0,0,4,5,78,1
38,185,ENGF89,040000,5,3,0,0,3,6,26,1
39,185,ENGF89,050000,5,1,0,0,2,15,15,1
40,185,ENGF89,080000,5,1,0,0,1,4,4,1
41,185,ENGF90,010000,30,17,0,0,21,47,295,1
42,185,ENGN61,010000,30,16,0,0,20,2,305,1
43,185,FCC024,030000,35,22,0,0,27,16,314,1
44,185,FISD34,080000,24,11,0,0,13,119,226,1
45,185,FISD36,160000,35,17,0,0,19,140,258,1
46,185,FISD36,170000,15,4,0,0,6,194,245,1
47,185,FISD37,100000,29,25,0,0,30,39,288,1
48,185,FISD40,001900,20,20,0,0,28,2,152,1
49,185,FISD40,002000,2,2,0,0,7,39,50,1
50,185,FISD41,001300,2,2,0,0,11,119,158,1
51,185,FISD41,001400,24,16,0,0,17,89,257,1
52,185,FISD42,300000,18,7,0,0,10,217,280,1
53,185,FISD42,310000,17,6,0,0,7,154,211,1
54,185,FISD42,320000,8,2,0,0,3,199,225,1
55,185,ICS459,000100,3,3,0,0,7,57,117,1
56,185,MATA01,170000,50,1,49,0,19,75,75,1
57,185,MATA03,090000,21,11,0,0,11,154,257,1
58,185,MATA04,080000,23,6,0,0,10,149,190,1
59,185,MATA07,060000,35,10,0,0,12,144,262,1
60,185,QUIB50,010000,20,20,0,0,33,131,209,1
