,Colegiado,Disciplina,Turma,Vagas Ofe,Vagas Pre,Vagas Ofe Cal,Vagas Pre Cal,Pedidos,Primeiro Alocado,Último Alocado,Etapa
0,402,EDC209,020200,2,2,0,0,3,330,392,1
1,402,EDC209,030300,5,5,0,0,12,3,38,1
2,402,EDC286,010100,5,5,0,0,10,24,361,1
3,402,EDC290,010100,3,3,0,0,12,183,267,1
4,402,EDC291,010100,2,2,0,0,11,6,83,1
5,402,EDC308,010100,4,3,0,0,5,415,610,1
6,402,EDCA01,040400,1,1,0,0,8,20,20,1
7,402,EDCA03,020200,1,1,0,0,2,503,503,1
8,402,EDCA04,040400,5,2,0,0,3,200,288,1
9,402,EDCA05,050500,5,1,0,0,5,74,74,1
10,402,EDCA11,000300,4,4,0,0,17,104,267,1
11,402,EDCA11,000600,6,6,0,0,15,136,232,1
12,402,EDCA12,000400,10,10,0,0,19,8,267,1
13,402,EDCA12,000700,12,12,0,0,21,3,193,1
14,402,EDCB90,010100,3,3,0,0,4,330,610,1
15,402,LET330,010100,7,1,0,0,1,627,627,1
16,402,LET398,010100,7,1,0,0,3,6,6,1
17,402,LET408,010100,7,1,0,0,1,204,204,1
18,402,LETA03,000100,15,11,0,0,14,98,637,1
19,402,LETA04,000200,6,6,0,0,13,3,141,1
20,402,LETA09,000500,30,14,16,0,20,48,512,1
21,402,LETA09,000700,10,7,0,0,9,64,634,1
22,402,LETA10,020000,45,10,30,7,5,258,339,1
23,402,LETA10,030000,45,9,0,0,13,179,634,1
24,402,LETA10,050000,10,7,0,0,9,50,626,1
25,402,LETA10,060000,20,5,15,0,6,250,641,1
26,402,LETA10,090000,8,4,0,0,6,417,611,1
27,402,LETA11,010000,22,13,15,7,11,155,631,1
28,402,LETA11,020000,21,6,15,0,14,49,562,1
29,402,LETA11,030000,11,3,0,0,7,518,630,1
30,402,LETA11,040000,33,3,16,0,5,338,611,1
31,402,LETA11,060000,2,2,0,0,5,436,512,1
32,402,LETA12,030000,20,7,0,0,9,60,630,1
33,402,LETA12,040000,15,2,13,0,3,99,275,1
34,402,LETA12,070000,5,5,0,0,6,69,631,1
35,402,LETA12,080000,10,3,3,0,5,393,634,1
36,402,LETA13,010000,38,9,30,7,4,618,634,1
37,402,LETA13,020000,9,7,0,0,8,69,631,1
38,402,LETA13,040000,41,7,16,0,7,338,611,1
39,402,LETA13,050000,5,3,0,0,5,512,639,1
40,402,LETA14,000500,26,26,0,0,52,47,188,1
41,402,LETA14,000700,5,5,0,0,17,55,379,1
42,402,LETA14,000900,20,15,0,0,19,48,541,1
43,402,LETA15,000100,5,5,0,0,14,5,177,1
44,402,LETA16,020000,45,28,0,0,32,59,618,1
45,402,LETA16,030000,25,23,0,0,26,47,452,1
